LEXICON:	lex-austria.txt	GER	de_AT
LEXENTRY:	AG	AG	PLACEN	DETACH
LEXENTRY:	AKTIEN	AKTIEN	PLACEN	DETACH
LEXENTRY:	AKTIEN-GESELLSCHAFT	AKTIEN-GESELLSCHAFT	PLACEN	DETACH
LEXENTRY:	AKTIENGESELLSCHAFT	AKTIENGESELLSCHAFT	PLACEN	DETACH
LEXENTRY:	ALLEE	ALLEE	TYPE	DETACH,SUFFIX
LEXENTRY:	ANSCHLUSSSTELLE	ANSCHLUSSSTELLE	TYPE	DETACH
LEXENTRY:	AT	AUSTRIA	NATION	DETACH
LEXENTRY:	AUSTRIA	AUSTRIA	NATION	DETACH
LEXENTRY:	AUT	AUSTRIA	NATION	DETACH
LEXENTRY:	AUTOBAHNDREIECK	AUTOBAHNDREIECK	TYPE	DETACH
LEXENTRY:	AUTOBAHNKREUZ	AUTOBAHNKREUZ	TYPE	DETACH
LEXENTRY:	AVENUE	AVENUE	TYPE	DETACH
LEXENTRY:	BACH	BACH	TYPE	SUFFIX,DETACH
LEXENTRY:	BD	BOULEVARD	TYPE	SUFFIX
LEXENTRY:	BD.	BOULEVARD	TYPE	SUFFIX
LEXENTRY:	BERG	BERG	TYPE	DETACH,SUFFIX
LEXENTRY:	BERGWEG	BERGWEG	TYPE	SUFFIX,DETACH
LEXENTRY:	BETRIEB	BETRIEB	PLACEN	DETACH
LEXENTRY:	BGB	BGB	PLACEN	DETACH
LEXENTRY:	BOGEN	BOGEN	TYPE	DETACH,SUFFIX
LEXENTRY:	BOULEVARD	BOULEVARD	TYPE	SUFFIX
LEXENTRY:	BRUCH	BRUCH	TYPE	SUFFIX
LEXENTRY:	BRUCKE	BRÜCKE	TYPE	DETACH
LEXENTRY:	BRÜCKE	BRÜCKE	TYPE	SUFFIX,DETACH
LEXENTRY:	BURG	BURG	TYPE	SUFFIX,DETACH
LEXENTRY:	BÜHL	BÜHL	TYPE	SUFFIX
LEXENTRY:	BÜHL 	BÜHL	TYPE	SUFFIX
LEXENTRY:	CH	CHAUSSEE	TYPE	SUFFIX
LEXENTRY:	CH.	CHAUSSEE	TYPE	SUFFIX
LEXENTRY:	CHAUSSEE	CHAUSSEE	TYPE	SUFFIX
LEXENTRY:	CO	CO	PLACEN	DETACH
LEXENTRY:	DAMM	DAMM	TYPE	SUFFIX,DETACH
