LEXICON:	lex-newzealand.txt	ENG	en_NZ
LEXENTRY:	1	1	NUMBER	DETACH
LEXENTRY:	10	10	NUMBER	DETACH
LEXENTRY:	10TH	10TH	WORD,ORD	DETACH
LEXENTRY:	11	11	NUMBER	DETACH
LEXENTRY:	11TH	11TH	WORD,ORD	DETACH
LEXENTRY:	12	12	NUMBER	DETACH
LEXENTRY:	12TH	12TH	WORD,ORD	DETACH
LEXENTRY:	13	13	NUMBER	DETACH
LEXENTRY:	13TH	13TH	WORD,ORD	DETACH
LEXENTRY:	14	14	NUMBER	DETACH
LEXENTRY:	14TH	14TH	WORD,ORD	DETACH
LEXENTRY:	15	15	NUMBER	DETACH
LEXENTRY:	15TH	15TH	WORD,ORD	DETACH
LEXENTRY:	16	16	NUMBER	DETACH
LEXENTRY:	16TH	16TH	WORD,ORD	DETACH
LEXENTRY:	17	17	NUMBER	DETACH
LEXENTRY:	17TH	17TH	WORD,ORD	DETACH
LEXENTRY:	18	18	NUMBER	DETACH
LEXENTRY:	18TH	18TH	WORD,ORD	DETACH
LEXENTRY:	19	19	NUMBER	DETACH
LEXENTRY:	19TH	19TH	WORD,ORD	DETACH
LEXENTRY:	1ST	1ST	WORD,ORD	DETACH
LEXENTRY:	2	2	NUMBER	DETACH
LEXENTRY:	20	20	NUMBER	DETACH
LEXENTRY:	20TH	20TH	WORD,ORD	DETACH
LEXENTRY:	2ND	2ND	WORD,ORD	DETACH
LEXENTRY:	3	3	NUMBER	DETACH
LEXENTRY:	30	30	NUMBER	DETACH
LEXENTRY:	30TH	30TH	WORD,ORD	DETACH
LEXENTRY:	3RD	3RD	WORD,ORD	DETACH
LEXENTRY:	4	4	NUMBER	DETACH
LEXENTRY:	40	40	NUMBER	DETACH
LEXENTRY:	40TH	40TH	WORD,ORD	DETACH
LEXENTRY:	4TH	4TH	WORD,ORD	DETACH
LEXENTRY:	5	5	NUMBER	DETACH
LEXENTRY:	50	50	NUMBER	DETACH
LEXENTRY:	50TH	50TH	WORD,ORD	DETACH
LEXENTRY:	5TH	5TH	WORD,ORD	DETACH
LEXENTRY:	6	6	NUMBER	DETACH
LEXENTRY:	60	60	NUMBER	DETACH
LEXENTRY:	60TH	60TH	WORD,ORD	DETACH
LEXENTRY:	6TH	6TH	WORD,ORD	DETACH
LEXENTRY:	7	7	NUMBER	DETACH
LEXENTRY:	70	70	NUMBER	DETACH
LEXENTRY:	70TH	70TH	WORD,ORD	DETACH
LEXENTRY:	7TH	7TH	WORD,ORD	DETACH
LEXENTRY:	8	8	NUMBER	DETACH
LEXENTRY:	80	80	NUMBER	DETACH
LEXENTRY:	80TH	80TH	WORD,ORD	DETACH
LEXENTRY:	8TH	8TH	WORD,ORD	DETACH
LEXENTRY:	9	9	NUMBER	DETACH
LEXENTRY:	90	90	NUMBER	DETACH
LEXENTRY:	90TH	90TH	WORD,ORD	DETACH
LEXENTRY:	9TH	9TH	WORD,ORD	DETACH
LEXENTRY:	ALLEY 	ALY	TYPE	DETACH
LEXENTRY:	ALY	ALY	TYPE	DETACH
LEXENTRY:	ANNEX 	ANX	TYPE	DETACH
LEXENTRY:	ANX	ANX	TYPE	DETACH
LEXENTRY:	APARTMENT	APT	UNITH	DETACH
LEXENTRY:	APT	APT	UNITH	DETACH
LEXENTRY:	ARC	ARC	TYPE	DETACH
LEXENTRY:	ARCADE 	ARC	TYPE	DETACH
LEXENTRY:	AVE	AVE	TYPE	DETACH
LEXENTRY:	AVENUE 	AVE	TYPE	DETACH
LEXENTRY:	BASEMENT	BSMT	UNITH	DETACH
LEXENTRY:	BCH	BCH	TYPE	DETACH
LEXENTRY:	BEACH	BCH	TYPE	DETACH
LEXENTRY:	BEND	BND	TYPE	DETACH
LEXENTRY:	BLDG	BLDG	UNITH	DETACH
LEXENTRY:	BLF	BLF	TYPE	DETACH
LEXENTRY:	BLUFF 	BLF	TYPE	DETACH
LEXENTRY:	BLVD	BLVD	TYPE	DETACH
LEXENTRY:	BND	BND	TYPE	DETACH
LEXENTRY:	BOTTOM	BTM	TYPE	DETACH
LEXENTRY:	BOULEVARD 	BLVD	TYPE	DETACH
LEXENTRY:	BR	BR	TYPE	DETACH
LEXENTRY:	BRANCH 	BR	TYPE	DETACH
LEXENTRY:	BRG	BRG	TYPE	DETACH
LEXENTRY:	BRIDGE 	BRG	TYPE	DETACH
LEXENTRY:	BRK	BRK	TYPE	DETACH
LEXENTRY:	BROOK 	BRK	TYPE	DETACH
LEXENTRY:	BSMT	BSMT	UNITH	DETACH
LEXENTRY:	BTM	BTM	TYPE	DETACH
LEXENTRY:	BUILDING	BLDG	UNITH	DETACH
LEXENTRY:	BYP	BYP	TYPE	DETACH
LEXENTRY:	BYPASS 	BYP	TYPE	DETACH
LEXENTRY:	C/O	C/O	UNITH	DETACH
LEXENTRY:	CAPE 	CPE	TYPE	DETACH
LEXENTRY:	CAUSEWAY 	CSWY	TYPE	DETACH
LEXENTRY:	CENTRE 	CTR	TYPE	DETACH
LEXENTRY:	CIR	CIR	TYPE	DETACH
LEXENTRY:	CIRCLE 	CIR	TYPE	DETACH
LEXENTRY:	CLFS	CLFS	TYPE	DETACH
LEXENTRY:	CLIFFS 	CLFS	TYPE	DETACH
LEXENTRY:	COR	COR	TYPE	DETACH
LEXENTRY:	CORNER 	COR	TYPE	DETACH
LEXENTRY:	CORNERS 	CORS	TYPE	DETACH
LEXENTRY:	CORS	CORS	TYPE	DETACH
LEXENTRY:	COURSE 	CRSE	TYPE	DETACH
LEXENTRY:	COURT 	CT	TYPE	DETACH
LEXENTRY:	COURTS 	CTS	TYPE	DETACH
LEXENTRY:	COVE 	CV	TYPE	DETACH
LEXENTRY:	CPE	CPE	TYPE	DETACH
LEXENTRY:	CREEK	CRK	TYPE	DETACH
LEXENTRY:	CRES	CRES	TYPE	DETACH
LEXENTRY:	CRESCENT 	CRES	TYPE	DETACH
LEXENTRY:	CRK	CRK	TYPE	DETACH
LEXENTRY:	CRSE	CRSE	TYPE	DETACH
LEXENTRY:	CSWY	CSWY	TYPE	DETACH
LEXENTRY:	CT	CT	TYPE	DETACH
LEXENTRY:	CTR	CTR	TYPE	DETACH
LEXENTRY:	CTS	CTS	TYPE	DETACH
LEXENTRY:	CV	CV	TYPE	DETACH
